Id,Label,latitude,city,state,longitude,Cluster_No,PageRank,Component ID,Eccentricity,Closeness Centrality,Betweenness Centrality
"Washington, Virginia","Washington, Virginia",38.7134519,Washington,Virginia,-78.1594439,0,4.564336396120124E-4,0,4.0,2.05114899925871,216.12361120036886
"Mustang, Oklahoma","Mustang, Oklahoma",35.384226,Mustang,Oklahoma,-97.7244867,0,5.864515030156701E-5,0,4.0,2.8917716827279465,0.0
"Alexandria, Louisiana","Alexandria, Louisiana",31.3112936,Alexandria,Louisiana,-92.4451371,0,1.5042207462081245E-4,0,4.0,2.1979243884358786,0.0
"Gloucester, Virginia","Gloucester, Virginia",37.4098631,Gloucester,Virginia,-76.5266174,0,2.7572819896359065E-4,0,4.0,2.1148999258710157,40.62775662586297
"Blue-Hill, Maine","Blue-Hill, Maine",44.4139662,Blue-Hill,Maine,-68.5866904,0,6.552255561585916E-5,0,5.0,3.1349147516679023,0.0
"Kennebunk, Maine","Kennebunk, Maine",43.3845306,Kennebunk,Maine,-70.54399,0,7.591195275214493E-5,0,4.0,2.6475166790214972,0.0
"Lake-Worth, Florida","Lake-Worth, Florida",26.6167555,Lake-Worth,Florida,-80.0684479,0,1.5605339484873798E-4,0,4.0,2.3354336545589325,61.51119620295367
"Warwick, Rhode-Island","Warwick, Rhode-Island",41.7001009,Warwick,Rhode-Island,-71.4161671,0,6.756103663509178E-5,0,4.0,2.6608598962194216,0.0
"Nashville, Tennessee","Nashville, Tennessee",36.1666667,Nashville,Tennessee,-86.7833333,0,0.002446952994726976,0,3.0,1.7976278724981467,28857.360028174073
"Thousand-Oaks, California","Thousand-Oaks, California",34.1705609,Thousand-Oaks,California,-118.8375937,0,1.462030926303588E-4,0,4.0,2.238695329873981,52.11530724971849
"Ocean-Park, Washington","Ocean-Park, Washington",46.4914875,Ocean-Park,Washington,-124.0501628,4,3.1980320888292947E-4,0,4.0,2.2531504818383987,541.9241514248863
"Clovis, California","Clovis, California",36.8252277,Clovis,California,-119.7029194,0,1.5151264980990065E-4,0,4.0,2.468495181616012,0.0
"Ventura-, California","Ventura-, California",34.2746405,Ventura-,California,-119.2290053,0,3.343269549223343E-4,0,4.0,2.1286137879911045,381.8392579368665
"Louisville, Colorado","Louisville, Colorado",39.977763,Louisville,Colorado,-105.1319296,0,9.27099897725764E-5,0,4.0,2.44885100074129,0.0
"Elizabeth, New-Jersey","Elizabeth, New-Jersey",40.6639916,Elizabeth,New-Jersey,-74.2107006,0,1.0178051783983971E-4,0,5.0,3.0166790214974055,0.0
"Bradley-Beach, New-Jersey","Bradley-Beach, New-Jersey",40.2023354,Bradley-Beach,New-Jersey,-74.0120814,0,6.805472566705909E-5,0,5.0,2.7679762787249813,0.0
"Seligman, Arizona","Seligman, Arizona",35.3255608,Seligman,Arizona,-112.8774057,0,2.7523623408366385E-4,0,4.0,2.200148257968866,41.77023443271702
"Winterset, Iowa","Winterset, Iowa",41.3308237,Winterset,Iowa,-94.0138393,0,2.2329584027839844E-4,0,4.0,2.2839140103780577,3.906457372819692
"Orange, Texas","Orange, Texas",30.0929879,Orange,Texas,-93.7365549,0,1.2070081526342272E-4,0,4.0,2.6853224610822832,18.484098308604626
"Lake-Arrowhead, California","Lake-Arrowhead, California",34.2483396,Lake-Arrowhead,California,-117.1892078,0,1.504051998969771E-4,0,4.0,2.2798369162342476,24.384494773537803
"Redwood-National-Park, California","Redwood-National-Park, California",41.2131788,Redwood-National-Park,California,-124.0046276,0,0.001550531334243112,0,3.0,1.8876945885841363,8448.629216329193
"Glen-Ellen, California","Glen-Ellen, California",38.3640795,Glen-Ellen,California,-122.5241487,0,1.3202340609520978E-4,0,4.0,2.3654558932542624,0.0
"Sturgis, South-Dakota","Sturgis, South-Dakota",44.4097069,Sturgis,South-Dakota,-103.5090786,0,0.0010045187972555541,0,4.0,1.9870274277242401,3630.3622248697525
"Brooksville, Florida","Brooksville, Florida",28.5552719,Brooksville,Florida,-82.3878709,0,1.3327987299240036E-4,0,4.0,2.4781319495922904,0.0
"Billings, Montana","Billings, Montana",45.7832856,Billings,Montana,-108.5006904,0,0.0014452684848110858,0,4.0,1.9117865085248331,11667.568405468217
"Capitol-Reef, Utah","Capitol-Reef, Utah",38.315813,Capitol-Reef,Utah,-111.2362801,0,0.0015199322612453954,0,3.0,1.8780578206078578,4814.324732222619
"Whittier, Alaska","Whittier, Alaska",60.7730556,Whittier,Alaska,-148.6838889,0,3.1872720585732325E-4,0,4.0,2.1412157153447,261.4448360723551
"Westport, Washington","Westport, Washington",46.8900903,Westport,Washington,-124.1040613,0,1.6223566621649836E-4,0,4.0,2.3876945885841363,71.67746394010771
"Heber-City, Utah","Heber-City, Utah",40.5070087,Heber-City,Utah,-111.4133234,0,1.6114017916722093E-4,0,4.0,2.1586360266864344,0.0
"Cambridge, Ohio","Cambridge, Ohio",40.031183,Cambridge,Ohio,-81.5884561,0,1.428557488085755E-4,0,4.0,2.502594514455152,10.695086637000404
"Austintown, Ohio","Austintown, Ohio",41.1017247,Austintown,Ohio,-80.7645239,0,1.865783465006704E-4,0,4.0,2.3584136397331354,0.0
"Montour-County, Pennsylvania","Montour-County, Pennsylvania",41.0262303,Montour-County,Pennsylvania,-76.6874701,0,1.9752172748979316E-4,0,5.0,3.4191994069681244,0.0
"Mukilteo, Washington","Mukilteo, Washington",47.9445396,Mukilteo,Washington,-122.3045815,0,1.0528411332964266E-4,0,5.0,3.106745737583395,5.011183648540022
"Spokane, Washington","Spokane, Washington",47.6587802,Spokane,Washington,-117.4260466,0,0.0016723629717648543,0,4.0,1.871015567086731,9124.408504716577
"Jesup, Georgia","Jesup, Georgia",31.6074365,Jesup,Georgia,-81.8853924,0,6.865219293889845E-5,0,4.0,2.6534469977761304,0.0
"Goshen, Indiana","Goshen, Indiana",41.5822716,Goshen,Indiana,-85.8344383,0,1.8387417714691242E-4,0,4.0,2.2038547071905117,0.0
"Topeka, Kansas","Topeka, Kansas",39.0558235,Topeka,Kansas,-95.6890185,0,3.21470030789277E-4,0,4.0,2.141957005189029,432.20734424974603
"Edinburg, Virginia","Edinburg, Virginia",38.8209466,Edinburg,Virginia,-78.5658453,0,1.0201619335383362E-4,0,4.0,2.50407709414381,0.0
"Brunswick, Georgia","Brunswick, Georgia",31.1499528,Brunswick,Georgia,-81.4914894,6,2.6976975696684397E-4,0,4.0,2.318013343217198,232.3341750764447
"Seeley-Lake, Montana","Seeley-Lake, Montana",47.1793799,Seeley-Lake,Montana,-113.4845229,0,1.32287749511224E-4,0,4.0,2.291326908821349,4.166111487105383
"Cumberland-, Rhode-Island","Cumberland-, Rhode-Island",41.9666667,Cumberland-,Rhode-Island,-71.4327778,0,5.890618372222829E-5,0,5.0,2.9833209785025945,0.0
"Wallace, Idaho","Wallace, Idaho",47.4740945,Wallace,Idaho,-115.9279387,0,7.747610655373796E-5,0,4.0,2.496664195700519,0.0
"Pontiac, Illinois","Pontiac, Illinois",40.8808666,Pontiac,Illinois,-88.6297839,0,1.1558546699399652E-4,0,4.0,2.373610081541883,0.0
"Norwalk, Connecticut","Norwalk, Connecticut",41.1175966,Norwalk,Connecticut,-73.4078968,0,9.83299798272875E-5,0,4.0,2.520385470719051,0.0
"Bell-Gardens, California","Bell-Gardens, California",33.9652918,Bell-Gardens,California,-118.1514588,0,6.653567116474216E-5,0,4.0,2.5088954781319495,0.0
"Parris-Island, South-Carolina","Parris-Island, South-Carolina",32.328746,Parris-Island,South-Carolina,-80.69479,0,7.913018339941069E-4,0,4.0,1.9911045218680503,1732.187460858364
"Gulfport, Florida","Gulfport, Florida",27.7483613,Gulfport,Florida,-82.7034334,0,1.377997054413531E-4,0,4.0,2.5126019273535953,0.0
"Bradenton, Florida","Bradenton, Florida",27.4989278,Bradenton,Florida,-82.5748194,0,2.1013937668805006E-4,0,4.0,2.2813194959229057,2745.0996600376156
